,0,1
1534,,Boaz Yakin
1536,,Richard Marquand
1537,Ryan Kruger,Neil Marshall
1539,,David Wain
1542,James Coburn,
1544,Ana de la Reguera,Jared Hess
1545,Matt Lucas,
1547,,Rupert Wainwright
1549,,John Luessenhop
1550,,Justin Zackham
1551,Brandon T. Jackson,
1553,Illeana Douglas,
1555,Callum Rennie,
1557,Ken Howard,John Gatins
1561,Frances Fisher,
1563,Alice Braga,Miguel Sapochnik
1564,,Hyung-rae Shim
1566,,Don Scardino
1567,George Kennedy,
1568,,Tim Robbins
1570,Joan Plowright,Tom Reeve
1572,Rob Riggle,Nanette Burstein
1573,Alicia Witt,
1574,,Ariel Vromen
1577,Desmond Llewelyn,Lewis Gilbert
1583,,John Francis Daley
1587,,J.B. Rogers
1590,,Michael Sucsy
1591,,Tom Vaughan
1601,Sharlto Copley,
1602,,Stephen Hillenburg
1603,John Doman,
1608,Emily Osment,
1609,Elizabeth Daily,Stig Bergqvist
1610,George Carlin,
1612,,Jason Reitman
1613,Hope Davis,Alexander Payne
1614,Cory Hardrict,Jonathan Levine
1615,,Rian Johnson
1617,,Chris Noonan
1620,Zach Gilford,
1621,Josh Charles,
1622,Tina Fey,Michael McCullers
1623,,Forest Whitaker
1625,Antony Starr,
1627,Kurt Fuller,Woody Allen
1628,,Peter Lepeniotis
1629,,Ted Demme
1631,,William Shatner
1632,Brenda Song,
1634,Patrick Macnee,
1635,Mark Gatiss,Steve Box
1641,Kate Upton,
1643,Mehcad Brooks,James Gartner
1644,Edgar Arreola,
1647,,Lee Toland Krieger
1648,,Tim McCanlies
1649,Alyson Stoner,
1650,Faizon Love,
1652,Danny Huston,
1653,,Drew Goddard
1654,Carmen Electra,Jason Friedberg
1656,Yaphet Kotto,Paul Michael Glaser
1658,Jessica Barden,
1660,Brian Thompson,John R. Leonetti
1661,,Tom Hanks
1662,,Kimberly Peirce
1663,,Liz Friedlander
1664,Debi Mazar,
1665,,Phil Joanou
1667,,Shane Acker
1669,Devin Ratray,Martha Coolidge
1670,Craig Ferguson,Stephen J. Anderson
1671,,Troy Miller
1672,Warren Beatty,
1673,Tika Sumpter,Tate Taylor
1675,,Brett Leonard
1676,Rainn Wilson,
1678,,Alister Grierson
1679,,Nick Hurran
1681,,Charles Stone III
1682,,Paul Haggis
1683,,Kurt Wimmer
1684,,Jean-François Richet
1686,,Kevin Hooks
1687,,Ellory Elkayem
1690,,Niki Caro
1692,Sarah Polley,Vincenzo Natali
1693,,Willard Huyck
1694,,Gavin O'Connor
1695,Eddie Cibrian,Bruce Hunt
1697,Jessica Paré,
1698,Grace Phipps,
1700,Saffron Burrows,Chris Roberts
1702,Ian Whyte,
1703,,Jee-woon Kim
1704,,Nick Hamm
1705,Annabella Sciorra,Andy Cadiff
1706,,Mike Disa
1709,,Richard J. Lewis
1710,Ólafur Darri Ólafsson,
1712,Tyler Labine,
1714,,Sergio Leone
1715,,Niels Arden Oplev
1716,,Michael Radford
1717,Emir Kusturica,
1718,,Steve Boyum
1719,Emily Watson,
1720,Dong-gun Jang,Kaige Chen
1721,Steve Howey,Corey Yuen
1722,,Andrew Dominik
1723,,Li Zhang
1724,Louise Bourgoin,Laurent Tirard
1727,,Reinhard Klooss
1729,,Frédéric Auburtin
1730,Paz Vega,Olivier Dahan
1731,Konstantin Khabenskiy,Maksim Fadeev
1732,,Liliana Cavani
1733,,Greg Tiernan
1734,,Elizabeth Banks
1735,Sandra Ellis Lafferty,
1736,Amanda Schull,
1737,Lisa Edelstein,Edward Norton
1740,Dick Clark,
1742,,Ben Falcone
1743,,Richard Attenborough
1745,,Don Mancini
1746,,John Maybury
1748,Aldis Hodge,
1750,,Igor Kovalyov
1755,Joe Lo Truglio,
1758,Eddie Cahill,
1761,Shun Oguri,Shinji Aramaki
1765,Julian Glover,
1766,Lilli Lavine,
1767,Mia Sara,
1769,David Lyons,
1770,Vinessa Shaw,
1771,Zoë Kravitz,
1772,Elizabeth McGovern,
1775,,Miguel Arteta
1776,Talulah Riley,
1780,,James Gray
1781,Philip Baker Hall,Janusz Kaminski
1782,Jacques Perrin,
1783,Samaire Armstrong,
1784,Scott Grimes,
1786,Mara Wilson,
1788,Dominic Flores,
1789,Matt Smith,
1790,Tenzin Thuthob Tsarong,
1791,,Robert B. Weide
1792,,Jeff Wadlow
1793,,Agustín Díaz Yanes
1794,,Camille Delamarre
1795,Louis Jourdan,
1796,Harold Ramis,
1799,Richard Wilson,David Lean
1800,Phil Davis,Richard Eyre
1803,,Nicholas Meyer
1804,Ellen Burstyn,Callie Khouri
1807,John Belushi,
1808,America Ferrera,Sanaa Hamri
1809,Dolly Parton,Todd Graff
1810,Sharon Small,
1813,,Philip Kaufman
1815,Gerald McRaney,
1817,,Saul Dibb
1818,Jackie Gleason,
1819,Piper Laurie,Walter Murch
1820,,Richard Linklater
1822,Harry Lennix,E. Elias Merhige
1823,,Menno Meyjes
1825,,Jodie Foster
1826,Meat Loaf,
1831,Kim-Marie Woodhouse,
1832,Erick Avari,
1836,,Scott Frank
1842,Rob McElhenney,
1843,Ryan O'Neal,
1844,Robert Pine,
1845,Sarah Carter,
1853,Daniel Roebuck,Kevin Allen
1855,,Michael Cristofer
1856,Pam Ferris,
1857,Rip Torn,
1858,Christopher Lambert,Andrew Morahan
1859,,Bob Rafelson
1860,David Conrad,Michael Cohn
1861,Woody Allen,
1863,Paul Hogan,Alan Shapiro
1865,,Fernando Meirelles
1866,Christo Jivkov,
1872,Luke Bracey,Michael Hoffman
1878,,Oleg Stepchenko
1879,Katharine Isabelle,
1880,Cara Delevingne,Michael Winterbottom
1882,Mike Vogel,
1883,Kevin Nash,Michael Pressman
1886,Bruce McGill,
1887,,Sharon Maguire
1888,Lena Olin,
1889,Mary Lynn Rajskub,Charles Herman-Wurmfeld
1890,Bailee Madison,
1894,Lee Remick,
1895,Chelan Simmons,
1896,Blythe Danner,
1897,,Gabor Csupo
1899,,Tyler Perry
1900,,Joe Carnahan
1901,,John Polson
1902,Darcy Donavan,
1908,,Bernardo Bertolucci
1910,Heather Locklear,
1911,Jim Meskimen,
1912,,Cathy Malkasian
1913,,John Eng
1914,Dave Chappelle,
1916,,Chris Nahon
1917,,Fred Wolf
1918,,Bille Woodruff
1922,Nicki Aycox,Victor Salva
1923,,Mark Helfrich
1927,Lily Atkinson,Steve Bendelack
1928,Nicholas Gonzalez,Dwight H. Little
1929,,Guillaume Canet
1930,,Kirsten Sheridan
1931,Fanny Ardant,
1932,Alexis Arquette,
1933,Joseph Cotten,Richard Fleischer
1934,,Bob Spiers
1935,Ari Graynor,
1936,,Damien Dante Wayans
1938,Jere Burns,
1941,,John Wells
1942,Connie Ray,Tim Fywell
1943,Aimee Garcia,Nigel Cole
1944,,Dexter Fletcher
1946,,Jeremy Leven
1947,Justin Fletcher,
1949,,Sylvain White
1950,,Troy Nixey
1951,,Philip G. Atwell
1953,,Jeff Schaffer
1954,Claudia Christian,Don Michael Paul
1955,Tyler James Williams,
1956,Dianne Wiest,James Bridges
1957,,Steve Barron
1958,Stephen Dillane,Bill Paxton
1959,,Richard Kelly
1960,Laura Ramsey,Carter Smith
1961,Mark Valley,John Schlesinger
1962,Frank Grillo,
1963,Chris Marquette,
1964,,Ringo Lam
1965,Martin Starr,Bruce McCulloch
1967,Sissy Spacek,
1968,Chris Zylka,
1971,Frank Finlay,
1975,Marco Treviño,Patricia Riggen
1976,Victor Wong,
1977,Dany Boon,Pascal Chaumeil
1980,Tom Berenger,
1983,John Doe,Jonathan Kaplan
1984,Kyra Sedgwick,Ole Bornedal
1985,,Richard Benjamin
1986,Alexander Skarsgård,
1988,Brian Bosworth,Craig R. Baxley
1989,,John Hillcoat
1990,Tanya Roberts,John Guillermin
1991,Cheech Marin,Marcos Siega
1995,,Rachel Talalay
1996,Donald Faison,Jeffrey W. Byrd
1997,Don McKellar,
2000,,Atom Egoyan
2001,Dallas Barnett,
2002,,Robert Towne
2003,Zoe Kazan,
2004,,Giuseppe Tornatore
2005,,Werner Herzog
2006,,Ben Stassen
2007,François Cluzet,
2008,Scout Taylor-Compton,
2009,Yolande Moreau,Jérôme Deschamps
2010,Sergey Garmash,Inna Evlannikova
2012,,Jonathan English
2013,Rod Steiger,Sergey Bondarchuk
2014,Siu-Wong Fan,Teddy Chan
2015,,Mario Van Peebles
2018,,Leonard Nimoy
2025,,Herbert Ross
2029,Minnie Driver,Bonnie Hunt
2030,Gerry Bednob,
2031,,Neil LaBute
2032,,Grant Heslov
2033,,George Gallo
2037,Lena Horne,Sidney Lumet
2039,Willie Garson,
2040,,Douglas McGrath
2042,,Kevin Spacey
2044,Donald Pleasence,Richard Williams
2045,,Mary McGuckian
2057,,Tony Goldwyn
2061,,Jonathan Newman
2064,Seymour Cassel,Michael Dinner
2066,Judith Barsi,Joseph Sargent
2067,,Jerry Zaks
2068,Tasha Smith,Fred Durst
2072,Alessandro Nivola,Anne Fontaine
2073,,Jon Cassar
2074,Tom Burke,
2075,Cole Hauser,
2076,Romola Garai,Mira Nair
2077,Bingbing Fan,
2078,Drew Powell,
2079,Joan Rivers,Mel Brooks
2080,Cem Yilmaz,Russell Crowe
2089,Manish Dayal,
2091,,Jessie Nelson
2092,Roma Downey,Christopher Spencer
2094,Denis O'Hare,
2097,Carlos Ponce,Mike Bigelow
2098,Jack Reynor,
2100,Radivoje Bukvic,
2101,Amanda Detmer,
2102,Zachary Gordon,
2106,,Daniel Sackheim
2108,,Harry Elfont
2110,,Uli Edel
2112,,Fred Dekker
2113,,Brian Trenchard-Smith
2114,Rock Hudson,Blake Edwards
2116,Ed Skrein,
2117,,Laurence Dunmore
2119,Gary Lewis,Christian Carion
2120,,David Palmer
2122,,Rowan Joffe
2124,,John Curran
2125,Romain Duris,
2130,Pablo Rago,Juan José Campanella
2131,Ornella Muti,
2133,,Trey Parker
2135,Paige Turco,Stuart Gillard
2138,Hunter Parrish,
2139,Omari Hardwick,
2142,Jason London,Katt Shea
2143,Chris Harrison,
2145,,Joshua Michael Stern
2147,,Tomas Alfredson
2148,Elaine Hendrix,John Duigan
2150,,Colin Higgins
2154,Bob Balaban,
2155,Ian Somerhalder,Jim Sonzero
2156,Dean Stockwell,
2157,Angus T. Jones,
2159,,Penelope Spheeris
2160,Bam Margera,Jeff Tremaine
2161,,Jeannot Szwarc
2163,Mackenzie Foy,
2167,Miranda Cosgrove,
2171,Shailene Woodley,
2174,,Steve McQueen
2175,Leonard Roberts,
2178,Sam Claflin,Thea Sharrock
2179,John Amos,
2181,,Jon Lucas
2182,,Aaron Seltzer
2183,,Robin Budd
2184,,Ava DuVernay
2185,,Steve Trenbirth
2186,Barry Watson,
2187,,Mennan Yapo
2188,Kath Soucie,Jun Falkenstein
2191,Lamman Rucker,
2194,Billy Crudup,Tom McCarthy
2196,,Takashi Shimizu
2197,Richard Lawson,
2200,,Gary Nelson
2201,Violante Placido,Anton Corbijn
2202,Jon Seda,Gregory Nava
2203,Diedrich Bader,
2206,,John Patrick Shanley
2207,Jeremy Shada,
2208,Gunnar Hansen,
2209,William McNamara,
2210,Marisa Saks,
2211,,Joshua Logan
2213,Peter Firth,
2214,Isaiah Washington,Steve Beck
2215,,Todd Strauss-Schulson
2216,,John McNaughton
2217,Sela Ward,Nelson McCormick
2220,Johnny Lewis,Eric Valette
2227,Kay Panabaker,Andrew Fleming
2228,Jay Laga'aia,Michael Spierig
2229,,Jim Field Smith
2230,Leighton Meester,Thomas Bezucha
2231,,William Brent Bell
2233,Kevin Sussman,Anthony Bell
2235,,Jessica Bendinger
2237,Kurtwood Smith,
2238,Samira Wiley,Henry Joost
2239,,Ed Harris
2240,Sheryl Lee,
2241,Pablo Sevilla,
2242,Janet Leigh,Alfred Hitchcock
2244,,Shana Feste
2246,Mako,Steve Rash
2249,,Mike Binder
2252,,Michael J. Bassett
2254,,Frank Nissen
2256,Shengyi Huang,Stephen Chow
2257,Leah Remini,
2258,,Peter Hastings
2259,Mustafa Haidari,
2261,,Paul Abascal
2263,Thomas Lennon,Chris Koch
2264,Andy Dick,Amy Heckerling
2265,Ronald Reagan,Michael Moore
2266,,George Stevens
2267,,Billy Ray
2269,Andrew Fiscella,
2271,,Mark Mylod
2272,,James Mather
2276,James Callis,Michael O. Sajbel
2280,Aasif Mandvi,
2281,Taylor Cole,
2283,,Charles T. Kanganis
2284,Quinton Aaron,
2288,,Damon Santostefano
2293,Aisha Tyler,
2295,Scott Baio,Bob Clark
2298,Debbie Reynolds,
2299,Sammy Davis Jr.,
2300,Martin Dew,
2301,,Dave Borthwick
2302,Chris Brown,Benson Lee
2304,Chriss Anglin,
2306,,Glen Morgan
2307,Kevin Alejandro,
2308,,Mike Leigh
2309,,Alejandro Monteverde
2313,Catherine Lough Haggquist,
2315,Cameron Bright,Jonathan Glazer
2316,,J.C. Chandor
2317,Landon Liboiron,Paul Gross
2318,Dylan Authors,Marc Abraham
2319,,Todd Haynes
2320,,Mabrouk El Mechri
2322,,Charlie Kaufman
2324,Isabelle Adjani,
2325,Steve Guttenberg,Nancy Walker
2327,Donny Boaz,Angelo Pizzo
2328,Damon Wayans,
2332,,Matthew Diamond
2334,William Hootkins,Katsuhiro Ôtomo
2335,,David Anspaugh
2336,,Andrew Jarecki
2337,Esai Morales,
2338,Jiao Xu,
2339,Christian Clavier,
2340,Marco St. John,
2341,,Daniel Algrant
2342,Peter Vaughan,
2345,Necar Zadegan,Jane Clark
2346,Andy Lau,
2347,,Mike Barker
2348,,Wayne Thornley
2349,Mani Bharathi,Gnana Rajasekaran
2350,Joey D. Vieira,Tom Walsh
2351,,Jonathan Jakubowicz
2353,,Scott Walker
2355,Moritz Bleibtreu,
2356,Mary McDonnell,
2359,Dan Byrd,Mark Rosman
2360,David Arquette,
2362,Scatman Crothers,
2364,Jeffrey Combs,
2365,Eric Mendenhall,
2366,Kari J. Kramer,Rob Hawk
2368,Taran Killam,
2369,Mem Ferda,
2370,Nicole 'Snooki' Polizzi,
2371,,Britt Allcroft
2373,Bunta Sugawara,
2374,,Alan Yuen
2376,,Brian Percival
2377,Katrina Bowden,
2378,,Anand Tucker
2379,,Anthony Mann
2380,,Michael Dowse
2381,,Daniel Barnz
2382,Darci Kistler,Emile Ardolino
2383,,Robert Altman
2384,,James Schamus
2385,,Andrew Douglas
2387,Tony Nappo,
2388,Louis Koo,
2390,,Ricky Gervais
2391,Craig Roberts,
2394,Luenell,
2395,Linda Cardellini,
2399,,Vic Armstrong
2400,Craig T. Nelson,
2402,,Terry Zwigoff
2404,Nia Vardalos,
2406,Shane Black,
2407,Jeffrey Jones,
2410,Raoul Bova,Audrey Wells
2411,Kristin Scott Thomas,
2412,Peter Gallagher,
2415,Sally Hawkins,
2416,Christian Clemenson,
2417,Christian Monzon,
2419,Hulk Hogan,Rick Friedberg
2421,,Sean McNamara
2422,Bob Newhart,
2423,Collette Wolfe,Jody Hill
2426,,Brandon Camp
2427,Nicholas Rowe,
2428,Kelsey Grammer,Kevin Tancharoen
2431,,Nicholas Hytner
2433,,Bart Freundlich
2436,Alan Ruck,
2438,Jason Robards,William A. Fraker
2439,,John Boorman
2440,Nancy Allen,
2441,Rebecca Budig,Courtney Solomon
2442,Joan Allen,
2443,Yaya DaCosta,
2444,,Jeff Kanew
2445,,István Szabó
2446,David Margulies,
2447,Ian McDiarmid,Matthew Robbins
2448,David Masterson,
2451,Tadanobu Asano,
2453,Barry Bostwick,Hal Needham
2454,Julie Christie,
2456,,Jeff Nichols
2458,,Jonathan Teplitzky
2459,Poppy Montgomery,
2460,Ulrich Tukur,Michael Haneke
2461,,Zack Ward
2462,,Mike Marvin
2464,James Hetfield,
2465,Austin Nichols,Gregor Jordan
2466,Edgar Ramírez,
2467,Takuya Kimura,Tran Anh Hung
2468,,Lance Hool
2469,Greg Nicotero,
2471,,Christian Volckman
2473,Ernie Reyes Jr.,
2474,,Rodrigo Cortés
2476,Vanessa Ferlito,
2477,Jason Momoa,David Hayter
2478,Cassie Ventura,
2479,,Cory Edwards
2480,,Terry George
2481,Henry Ian Cusick,Xavier Gens
2482,Jennifer Hudson,Kasi Lemmons
2483,,Brian A Miller
2484,Kirk Fox,Matt Dillon
2485,Fionnula Flanagan,
2487,Jeremy Brett,George Cukor
2491,Chris Moss,
2494,,John Hoffman
2497,,Kevin Greutert
2498,Emmanuelle Vaugier,
2500,,John Fortenberry
2503,Kevin Grevioux,
2504,Morgan Saylor,
2505,,Erik White
2506,T.I.,Chris Robinson
2507,,Jason Moore
2510,,Robert Harmon
2511,Thomas F. Wilson,Trent Cooper
2512,,Gary Halvorson
2514,Ava Gardner,Nicholas Ray
2515,Lou Taylor Pucci,Fede Alvarez
2518,,Sidney J. Furie
2519,DeRay Davis,Ian Iqbal Rashid
2520,,Wayne Kramer
2521,Aidan Quinn,Rowdy Herrington
2522,,Jim Goddard
2524,Tippi Hedren,Noel Marshall
2525,Brenda Fricker,
2526,,Andrea Di Stefano
2528,,Guillaume Ivernel
2529,,Jack Smight
2530,Julianna Guill,Todd Lincoln
2531,,Howard Zieff
2532,,Steven Shainberg
2534,Hal Holbrook,
2536,,Julian Jarrold
2537,Danny Strong,Joe Nussbaum
2538,,Vadim Perelman
2540,,Peter Farrelly
2541,Bruno Kirby,
2543,Ethan Suplee,
2545,Bérénice Bejo,Michel Hazanavicius
2549,Clive Russell,Cyrus Nowrasteh
2550,Jennifer Esposito,Perry Andelin Blake
2551,Ivana Baquero,
2553,Leslie Bibb,
2555,,Christian E. Christiansen
2556,Brittany Daniel,
2557,Bolo Yeung,Sheldon Lettich
2558,Bill Bailey,
2559,,Diane English
2561,Gustaf Skarsgård,Peter Flinth
2563,,Robert Iscove
2564,,Peter Kosminsky
2566,,Nick Gomez
2569,,Allen Coulter
2570,,Clare Kilner
2573,Gretchen Mol,Josef Rusnak
2574,Farrah Fawcett,Lance Rivera
2575,,Ronald Neame
2576,Lochlyn Munro,Bruce Paltrow
2578,,Adam Rifkin
2580,Alison Lohman,Susanne Bier
2581,Charles Napier,Kenneth Johnson
2583,,James Ivory
2585,,Jessy Terrero
2586,,Dany Boon
2587,,Vicente Amorim
2588,Paz de la Huerta,Gaspar Noé
2591,,Jérôme Salle
2592,,Tommy Lee Jones
2593,,Jesse Vaughan
2594,Steven Van Zandt,
2595,David Alpay,
2596,Bruce Dern,William Bindley
2597,,Wayne Beach
2598,Carole Bouquet,Gérard Krawczyk
2599,Dustin Milligan,
2605,Chen Chang,
2609,Bex Taylor-Klaus,
2610,,Udayan Prasad
2612,Nicole Dionne,JK Youn
2614,,Morten Tyldum
2618,,Andrés Muschietti
2620,Beverly D'Angelo,
2621,Jackson Nicoll,
2622,Roger Allam,
2625,,Gillian Armstrong
2626,,James Watkins
2628,Frankie Muniz,
2631,Clayton Snyder,Jim Fall
2632,,Ric Roman Waugh
2633,,Michael Dougherty
2634,Jordana Brewster,
2635,Rae'Ven Kelly,
2637,,Joel Gallen
2641,,James Marsh
2643,,Matt Williams
2644,Claude Rains,
2645,,Rob Zombie
2647,Tony Goldwyn,Dennis Iliadis
2648,Jack Davenport,
2649,,Rick Rosenthal
2652,,Denzel Washington
2653,,Nicolas Winding Refn
2654,,Sara Sugarman
2656,,Juan Carlos Fresnadillo
2657,Jessie T. Usher,
2659,,Gina Prince-Bythewood
2661,,Phil Traill
2662,Kim Director,Joe Berlinger
2663,Christine Taylor,
2665,Sierra McCormick,Elizabeth Allen Rosenbaum
2668,Kieran Culkin,
2669,,Michael Mayer
2670,Jeff Kober,Martin Weisz
2671,,John Ottman
2672,William Hurt,
2673,Kelly Carlson,John Bonito
2674,,Peter Atencio
2676,,David Nutter
2677,,Derek Cianfrance
2679,Jason Priestley,Stephan Elliott
2681,,Mark L. Lester
2684,,Tom Green
2685,Yuri Lowenthal,Mike Nawrocki
2686,,Catherine Owens
2687,,Douglas Aarniokoski
2688,,Bryan Barber
2689,,Lone Scherfig
2690,Daniel Stern,Drew Barrymore
2691,,Brian Koppelman
2692,,James Foley
2693,,Albert Brooks
2696,Trevor Morgan,Steve Gomer
2697,,RZA
2699,,Mark Piznarski
2701,Oliver James,
2702,David Ogden Stiers,
2704,,Craig Brewer
2705,Khandi Alexander,
2707,,David Raynr
2708,,Mort Nathan
2710,,Dan Curtis
2711,,Wil Shriner
2712,Elizabeth Berrington,Martin McDonagh
2713,,Tina Gordon Chism
2714,,Peter Cattaneo
2715,,Vicky Jenson
2717,Larry David,
2718,Matthew Settle,Mary Lambert
2719,Levon Helm,
2720,,Peter Kassovitz
2722,,Rodman Flender
2724,,Katja von Garnier
2726,,Mark Romanek
2727,Anna Silk,
2728,Thomas Kretschmann,Brad Anderson
2729,Curtis Armstrong,Michael Chapman
2730,,Antonio Banderas
2732,Thomas Stroppel,Khalil Sullins
2734,Brigitte Helm,Fritz Lang
2735,David Belle,
2737,Qi Shu,Hsiao-Hsien Hou
2739,Konstantin Lavronenko,Andrey Zvyagintsev
2740,Nirut Sirichanya,Tony Jaa
2742,Christopher Heyerdahl,
2743,,Ryûhei Kitamura
2744,,Darrell Roodt
2745,,Dito Montiel
2746,Eddie Izzard,Stefan Ruzowitzky
2747,Stephen Graham,Jake Paltrow
2748,Anna Friel,Juraj Jakubisko
2749,,Anthony Silverston
2750,Birgitte Hjort Sørensen,Gabe Ibáñez
2751,Bruce Payne,Gerry Lively
2752,Maximilian Dirr,Daniele Luchetti
2753,,Tung-Shing Yee
2754,Samantha Morton,Julien Temple
2756,,Gregory Jacobs
2758,,Gilles Paquet-Brenner
2759,Sharon Leal,Peter Cousens
2761,,Lars von Trier
2762,Anil Kapoor,
2763,Fred Gwynne,
2765,,John Blanchard
2766,,John Cornell
2767,María Valverde,Vidhu Vinod Chopra
2769,Doug E. Doug,
2770,Jensen Ackles,
2774,Caroline Munro,
2775,Amy Bruni,
2776,,Jamie Blanks
2779,,Randal Kleiser
2782,Phil Vischer,
2783,Janet Jackson,
2784,Mike Epps,
2786,Linda Blair,
2790,,Rick Famuyiwa
2791,,Alan Cohn
2792,Lily Tomlin,Franco Zeffirelli
2793,,Tom Holland
2797,Peter Mensah,James Isaac
2799,,Emilio Estevez
2800,Monica Potter,
2801,Thomas McDonell,Josh Schwartz
2802,Emmanuelle Seigner,Julian Schnabel
2803,,Todd Field
2804,,Davis Guggenheim
2806,Derek Luke,
2807,Melissa Sagemiller,Stephen Carpenter
2808,Seth Gilliam,
2810,,James Fargo
2811,Lesley Manville,
2812,Mathieu Amalric,Alain Resnais
2813,Sebastian Koch,
2814,Woo-sung Jung,Chao-Bin Su
2815,John Heard,
2816,,Kenneth Lonergan
2817,,Bo Zenga
2824,Krystyna Janda,
2828,Jacek Koman,
2830,Belén Rueda,
2833,Jason Mewes,
2834,Usher Raymond,
2838,Sean Patrick Thomas,
2839,Tuesday Knight,
2841,,Danny Leiner
2842,Jack Palance,Christopher Cain
2843,,Theodore Melfi
2846,,Ed Decter
2847,,Gene Quintano
2848,Óscar Jaenada,
2849,,Eric Bress
2850,Chris Elliott,
2851,,Preston A. Whitmore II
2852,Kathleen Turner,
2853,,Kirk Wong
2854,,Bronwen Hughes
2855,Jenny Agutter,John Lafia
2856,,Sam Miller
2858,Elina Alminas,Alex Garland
2860,,Mark Brown
2861,Teo Halm,
2863,Yuki Matsuzaki,
2864,,Michael Polish
2865,,Daisy von Scherler Mayer
2866,,Lenny Abrahamson
2867,Don Rickles,Bob Saget
2868,,John Waters
2870,Michael Nyqvist,
2871,,Craig Bolotin
2872,,Mark Christopher
2873,,Blair Hayes
2874,,Jez Butterworth
2875,Justin Chon,
2876,,Olivier Assayas
2879,,Patrice Leconte
2881,,Paul Mazursky
2884,,Stephen Chbosky
2885,Burt Young,Jon Hess
2889,John Boyega,Joe Cornish
2890,Jelena Jovanova,
2892,,John H. Lee
2893,Steve Irwin,John Stainton
2894,Dameon Clarke,
2895,Rae Dawn Chong,
2897,Gabriel Millman,
2899,,Benedek Fliegauf
2902,,Paul Schrader
2903,Julian Morris,Stewart Hendler
2904,David Niven,John Cromwell
2906,Richard Johnson,Mark Herman
2909,Isabella Rossellini,Abel Ferrara
2911,,Ethan Maniquis
2912,,George Hickenlooper
2914,Min-sik Choi,Je-kyu Kang
2915,,William Dear
2919,,Stéphane Aubier
2924,Sean Young,
2925,,John Badham
2927,Alex Veadov,Mike McCoy
2929,,Mike Judge
2934,Shelley Duvall,
2935,Britney Spears,Tamra Davis
2936,Dax Flame,Nima Nourizadeh
2937,George C. Scott,Franklin J. Schaffner
2939,,John Erick Dowdle
2940,,David Moreau
2941,,Christopher Erskin
2943,Steven Mackintosh,Brian Henson
2946,Lexie Contursi,Dan Cutforth
2947,,Josh Boone
2950,Talia Shire,
2956,Tammin Sursok,
2957,Nat Wolff,Jake Schreier
2958,,Cheryl Dunye
2960,,Ernest R. Dickerson
2964,,Lionel C. Martin
2966,Common,
2970,Jürgen Prochnow,
2972,Heather Matarazzo,Wallace Wolodarsky
2973,Tom Hughes,
2975,Nate Parker,Nicholas Jarecki
2976,Gary Weeks,Dean Israelite
2977,,Darnell Martin
2978,,Scott Alexander
2979,,Stuart Gordon
2980,,Christopher Guest
2981,Melanie Griffith,
2982,Jill Clayburgh,
2983,Anika Noni Rose,
2985,,Jane Campion
2987,,Fred Schepisi
2988,Doona Bae,
2990,Jeremy Davies,Antonia Bird
2991,,Jon Poll
2992,Toni Servillo,Paolo Sorrentino
2993,,Peter Care
2994,Mia Wasikowska,Chan-wook Park
2996,David Richmond-Peck,Ira Sachs
2997,Eamonn Walker,Carroll Ballard
2999,,Takeshi Kitano
3002,Eva Amurri Martino,
3004,,Marco Kreuzpaintner
3005,Marcell Nagy,Lajos Koltai
3006,,Alan Rudolph
3007,Honglei Sun,
3008,David Hewlett,
3009,Ye Liu,Chuan Lu
3011,,Lijun Sun
3012,,Takashi Yamazaki
3013,Richard Coyle,
3014,Rachael Carpani,Christopher Smith
3015,,Timothy Hines
3016,Jacob Vargas,
3018,Gary Daniels,David Winters
3019,Miko Hughes,
3020,Tatsuo Matsumura,Akira Kurosawa
3021,,Jamie Thraves
3022,Wei Tang,Mabel Cheung
3023,Phoebe Cates,
3025,,Dan Mazer
3027,Wagner Moura,
3028,Lucas Grabeel,
3032,,R.J. Cutler
3033,Zoe Ventoura,
3034,Corbin Bernsen,David S. Ward
3035,Lily Cole,
3037,Lauren German,
3038,Lois Smith,
3041,Madeline Kahn,
3043,,Rob Pritts
3044,Steven Bauer,
3046,Louise Fletcher,
3047,,John Crowley
3049,Lee Majors,Brendan Malloy
3051,Luke Newberry,Dustin Hoffman
3052,,Gregory Poirier
3054,,Simon Curtis
3056,Patricia Tallman,
3057,,Dewey Nicks
3059,,Philip Saville
3061,Michael McKean,
3064,,Tim Blake Nelson
3065,,William A. Graham
3066,,Martin Ritt
3067,,John Turturro
3068,Phyllida Law,Agnieszka Holland
3070,Sam Riley,
3071,,David Hackl
3072,John Cassavetes,Giuliano Montaldo
3073,Nora Dunn,Lisa Azuelos
3074,John Howard,Ray Lawrence
3075,Shah Rukh Khan,Karan Johar
3077,,Ruairi Robinson
3078,,Jaume Balagueró
3079,Keir Dullea,
3080,Henry Thomas,
3081,,Jon Kasdan
3082,,Léa Pool
3083,Ricky Schroder,Floyd Mutrux
3084,Antonia Thomas,
3085,Arjun Rampal,Sajid Khan
3086,Jon Gries,
3087,Santiago Cabrera,Dean Wright
3088,Karin Viard,Eric Lartigau
3090,,Shintaro Shimosawa
3091,,Darren Lynn Bousman
3094,,James DeMonaco
3099,Boris Kodjoe,
3101,Richard Burton,Ken Annakin
3102,Lane Smith,
3107,,Carol Reed
3109,,Chuck Sheetz
3110,Tina Turner,
3112,Lauren Cohan,
3114,,Marcus Raboy
3115,,Leigh Whannell
3116,,Michael Schultz
3118,Jeff Fahey,
